x n1 n4 n25 cauchy
-3.61 0.000590235744923 3.82297824172e-12 3.57080471876e-71 0.022684408334
-3.6 0.000611901930114 4.41597992627e-12 8.79374771298e-71 0.0228015677782
-3.59 0.000634299997539 5.0989251534e-12 2.16021097127e-70 0.0229196136393
-3.58 0.000657452175655 5.88513548939e-12 5.29337420682e-70 0.0230385546296
-3.57 0.000681381275067 6.78985620096e-12 1.29384809298e-69 0.0231583995652
-3.56 0.000706110700488 7.8305266109e-12 3.1546286778e-69 0.0232791573678
-3.55 0.00073166446283 9.02708735441e-12 7.67233341884e-69 0.0234008370655
-3.54 0.000758067191429 1.04023294151e-11 1.86131960797e-68 0.0235234477951
-3.53 0.000785344146392 1.19822904427e-11 4.50431444417e-68 0.0236469988027
-3.52 0.000813521231082 1.3796704555e-11 1.08730331715e-67 0.0237714994462
-3.51 0.000842625004707 1.587951261e-11 2.61810457114e-67 0.0238969591958
-3.5 0.000872682695046 1.82694408167e-11 6.28836191439e-67 0.0240233876365
-3.49 0.000903722211278 2.10106565397e-11 1.50661515712e-66 0.0241507944692
-3.48 0.000935772156927 2.41535112592e-11 3.60065407636e-66 0.0242791895124
-3.47 0.00096886184292 2.77553818876e-11 8.58370395589e-66 0.0244085827039
-3.46 0.00100302130073 3.18816230318e-11 2.04118480054e-65 0.0245389841025
-3.45 0.00103828129566 3.66066443403e-11 4.84177032676e-65 0.0246704038895
-3.44 0.00107467334015 4.20151288141e-11 1.14561926185e-64 0.0248028523706
-3.43 0.00111222970727 4.8203409896e-11 2.70390042073e-64 0.0249363399779
-3.42 0.00115098344418 5.52810273234e-11 6.36583449881e-64 0.025070877271
-3.41 0.00119096838581 6.33724841494e-11 1.49497612655e-63 0.0252064749395
-3.4 0.00123221916847 7.26192300358e-11 3.50209106716e-63 0.0253431438044
-3.39 0.00127477124366 8.31818989353e-11 8.18342066864e-63 0.0254808948202
-3.38 0.00131866089182 9.52428326383e-11 1.90746501808e-62 0.0256197390766
-3.37 0.00136392523624 1.090089254e-10 4.43498904157e-62 0.0257596878006
-3.36 0.00141060225694 1.24714829033e-10 1.02859115151e-61 0.0259007523584
-3.35 0.00145873080467 1.4262656248e-10 2.37961819338e-61 0.0260429442572
-3.34 0.00150835061485 1.63045575054e-10 5.49143745008e-61 0.0261862751476
-3.33 0.00155950232165 1.86313318258e-10 1.26409311365e-60 0.0263307568252
-3.32 0.00161222747198 2.12816387469e-10 2.90259440326e-60 0.026476401233
-3.31 0.00166656853957 2.42992301868e-10 6.648258621e-60 0.0266232204635
-3.3 0.00172256893905 2.77335998833e-10 1.5189508494e-59 0.0267712267606
-3.29 0.00178027303996 3.16407127747e-10 3.46173485254e-59 0.026920432522
-3.28 0.00183972618082 3.6083823784e-10 7.86969939888e-59 0.0270708503014
-3.27 0.00190097468317 4.11343965404e-10 1.78458299713e-58 0.0272224928105
-3.26 0.0019640658655 4.68731337559e-10 4.03672925158e-58 0.0273753729217
-3.25 0.0020290480573 5.33911322953e-10 9.10828804216e-58 0.0275295036699
-3.24 0.00209597061286 6.07911774243e-10 2.05002026792e-57 0.0276848982556
-3.23 0.00216488392517 6.91891923346e-10 4.60250021063e-57 0.0278415700464
-3.22 0.00223583943969 7.8715860818e-10 1.03072721479e-56 0.0279995325801
-3.21 0.00230888966801 8.95184429283e-10 2.30254397299e-56 0.0281587995669
-3.2 0.00238408820146 1.01762805633e-09 5.13081536396e-56 0.0283193848918
-3.19 0.00246148972464 1.15635692854e-09 1.14045749568e-55 0.0284813026175
-3.18 0.00254115002873 1.31347261927e-09 2.52863465219e-55 0.0286445669868
-3.17 0.00262312602478 1.49133916431e-09 5.59251722224e-55 0.0288091924249
-3.16 0.00270747575684 1.69261468514e-09 1.23379452578e-54 0.0289751935428
-3.15 0.00279425841488 1.92028667406e-09 2.71514239876e-54 0.0291425851393
-3.14 0.0028835343476 2.17771134655e-09 5.9601425639e-54 0.0293113822041
-3.13 0.00297536507507 2.46865750911e-09 1.30507343068e-53 0.0294815999207
-3.12 0.0030698133011 2.7973554376e-09 2.85054244547e-53 0.0296532536689
-3.11 0.00316694292554 3.16855131275e-09 6.2106111684e-53 0.0298263590281
-3.1 0.0032668190562 3.58756781593e-09 1.34975651229e-52 0.0300009317798
-3.09 0.00336950802068 4.06037155039e-09 2.92611093356e-52 0.030176987911
-3.08 0.00347507737785 4.59364802136e-09 6.32762023302e-52 0.0303545436169
-3.07 0.00358359592916 5.19488498268e-09 1.36491085925e-51 0.0305336153041
-3.06 0.00369513372956 5.87246503965e-09 2.93685453314e-51 0.0307142195939
-3.05 0.00380976209822 6.63576848709e-09 6.30339969469e-51 0.0308963733253
-3.04 0.00392755362892 7.49528745935e-09 1.34952682219e-50 0.031080093558
-3.03 0.00404858220009 8.46275257608e-09 2.88205628991e-50 0.0312653975762
-3.02 0.00417292298452 9.55127338456e-09 6.13956583613e-50 0.0314523028916
-3.01 0.00430065245873 1.07754940269e-08 1.30462929585e-49 0.0316408272466
-3 0.00443184841194 1.21517656996e-08 2.76535477492e-49 0.0318309886184
-2.99 0.00456658995467 1.3698337626e-08 5.84694285605e-49 0.0320228052217
-2.98 0.00470495752693 1.54355684251e-08 1.23316476294e-48 0.0322162955127
-2.97 0.00484703290598 1.73861599458e-08 2.59434439465e-48 0.0324114781928
-2.96 0.00499289921361 1.95754158249e-08 5.44437977664e-48 0.0326083722119
-2.95 0.00514264092305 2.20315272494e-08 1.13968140033e-47 0.0328069967724
-2.94 0.00529634386531 2.47858886283e-08 2.37975787651e-47 0.0330073713327
-2.93 0.00545409523506 2.78734461381e-08 4.95674239592e-47 0.0332095156114
-2.92 0.00561598359599 3.13330823763e-08 1.0298505112e-46 0.033413449591
-2.91 0.00578209888567 3.5208040658e-08 2.13435321493e-46 0.0336191935218
-2.9 0.00595253241978 3.95463928125e-08 4.4123774873e-46 0.033826767926
-2.89 0.00612737689582 4.44015546872e-08 9.09899217105e-46 0.0340361936018
-2.88 0.00630672639627 4.98328539459e-08 1.87166528994e-45 0.0342474916276
-2.87 0.00649067639099 5.59061551603e-08 3.84040781952e-45 0.034460683366
-2.86 0.0066793237392 6.26945476358e-08 7.86032979303e-45 0.0346757904684
-2.85 0.00687276669061 7.02791018964e-08 1.60479090521e-44 0.034892834879
-2.84 0.00707110488602 7.874970127e-08 3.26821338766e-44 0.0351118388395
-2.83 0.00727443935714 8.82059555787e-08 6.63921325627e-44 0.0353328248936
-2.82 0.00748287252578 9.87582045422e-08 1.34535561782e-43 0.0355558158911
-2.81 0.00769650820224 1.10528619155e-07 2.71939214158e-43 0.0357808349933
