n independent dependent
319 0.0559892510956 0.320657631461
320 0.0559016994375 0.32064388346
321 0.0558145572186 0.320630220531
322 0.0557278212575 0.320616641889
323 0.0556414884075 0.320603146755
324 0.0555555555556 0.320589734361
325 0.0554700196225 0.32057640395
326 0.0553848775622 0.32056315477
327 0.0553001263609 0.320549986083
328 0.0552157630374 0.320536897157
329 0.055131784642 0.320523887269
330 0.0550481882563 0.320510955706
331 0.0549649709929 0.320498101761
332 0.0548821299948 0.32048532474
333 0.0547996624351 0.320472623952
334 0.0547175655165 0.320459998718
335 0.0546358364708 0.320447448366
336 0.054554472559 0.320434972231
337 0.0544734710703 0.320422569657
338 0.054392829322 0.320410239995
339 0.0543125446594 0.320397982604
340 0.0542326144547 0.32038579685
341 0.0541530361074 0.320373682108
342 0.0540738070436 0.320361637759
343 0.0539949247156 0.320349663189
344 0.0539163866017 0.320337757796
345 0.0538381902058 0.320325920981
346 0.053760333057 0.320314152153
347 0.0536828127095 0.320302450728
348 0.0536056267419 0.320290816129
349 0.0535287727572 0.320279247785
350 0.0534522483825 0.320267745131
351 0.0533760512684 0.32025630761
352 0.0533001790889 0.32024493467
353 0.0532246295412 0.320233625765
354 0.0531494003453 0.320222380357
355 0.0530744892434 0.320211197911
356 0.0529998940003 0.320200077901
357 0.0529256124025 0.320189019804
358 0.0528516422582 0.320178023107
359 0.0527779813969 0.320167087297
360 0.0527046276695 0.320156211872
361 0.0526315789474 0.320145396331
362 0.0525588331228 0.320134640183
363 0.0524863881081 0.320123942939
364 0.0524142418361 0.320113304117
365 0.052342392259 0.320102723238
366 0.0522708373489 0.320092199832
367 0.0521995750972 0.320081733431
368 0.0521286035143 0.320071323573
369 0.0520579206295 0.320060969801
370 0.051987524491 0.320050671664
371 0.0519174131651 0.320040428713
372 0.0518475847365 0.320030240507
373 0.0517780373078 0.320020106607
374 0.0517087689995 0.320010026581
375 0.0516397779494 0.32
376 0.0515710623129 0.31999002644
377 0.0515026202625 0.319980105482
378 0.0514344499874 0.319970236711
379 0.0513665496938 0.319960419716
380 0.0512989176043 0.31995065409
381 0.0512315519579 0.319940939432
382 0.0511644510097 0.319931275343
383 0.0510976130308 0.319921661429
384 0.051031036308 0.319912097302
385 0.0509647191438 0.319902582574
386 0.0508986598559 0.319893116865
387 0.0508328567775 0.319883699796
388 0.0507673082567 0.319874330994
389 0.0507020126563 0.319865010088
390 0.0506369683542 0.319855736712
391 0.0505721737424 0.319846510504
392 0.0505076272276 0.319837331103
393 0.0504433272305 0.319828198156
394 0.050379272186 0.31981911131
395 0.0503154605427 0.319810070218
396 0.050251890763 0.319801074533
397 0.0501885613228 0.319792123916
398 0.0501254707117 0.319783218029
399 0.0500626174322 0.319774356536
400 0.05 0.319765539106
401 0.0499376169439 0.319756765413
402 0.0498754668054 0.319748035131
403 0.0498135481387 0.319739347939
404 0.0497518595105 0.319730703518
405 0.0496903995 0.319722101554
406 0.0496291666985 0.319713541735
407 0.0495681597097 0.31970502375
408 0.0495073771488 0.319696547296
409 0.0494468176434 0.319688112068
410 0.0493864798325 0.319679717766
411 0.0493263623667 0.319671364094
412 0.0492664639082 0.319663050757
413 0.0492067831305 0.319654777464
414 0.0491473187183 0.319646543925
415 0.0490880693674 0.319638349856
416 0.0490290337845 0.319630194973
417 0.0489702106874 0.319622078995
418 0.0489115988045 0.319614001645
419 0.0488531968746 0.319605962648
420 0.0487950036474 0.319597961731
421 0.0487370178829 0.319589998625
422 0.0486792383511 0.319582073061
423 0.0486216638326 0.319574184775
424 0.0485642931179 0.319566333504
425 0.0485071250073 0.31955851899
426 0.0484501583112 0.319550740973
427 0.0483933918496 0.319542999199
428 0.0483368244523 0.319535293416
429 0.0482804549585 0.319527623372
