x n1 n4 n25
1.64 0.144072603941 0.0810860008249 1.89052332405e-05
1.68 0.142924621163 0.0844198855593 2.75990130401e-05
1.72 0.14178578561 0.0877414548496 3.97461090396e-05
1.76 0.140656024395 0.0910458323248 5.65011158721e-05
1.8 0.139535265214 0.0943283328774 7.93294098696e-05
1.84 0.138423436338 0.0975844658482 0.000110068476925
1.88 0.137320466608 0.100809937292 0.000150995738552
1.92 0.136226285436 0.104000651403 0.00020490233186
1.96 0.135140822792 0.107152711176 0.000275171992247
2 0.134064009207 0.110262418361 0.000365863862617
2.04 0.132995775764 0.113326272787 0.000481797720644
2.08 0.131936054097 0.116340971112 0.000628639788784
2.12 0.130884776382 0.119303405043 0.000812986983625
2.16 0.129841875337 0.122210659097 0.00104244718593
2.2 0.128807284217 0.125060007935 0.00132571288407
2.24 0.127780936806 0.127848913326 0.00167262537448
2.28 0.12676276742 0.130575020771 0.00209422660498
2.32 0.125752710893 0.133236155842 0.00260279572975
2.36 0.124750702584 0.135830320257 0.00321186751589
2.4 0.123756678361 0.138355687731 0.00393622990464
2.44 0.122770574609 0.140810599638 0.0047918982872
2.48 0.121792328215 0.143193560513 0.00579606440267
2.52 0.120821876571 0.145503233403 0.00696701819946
2.56 0.119859157569 0.147738435127 0.00832404151178
2.6 0.118904109594 0.149898131429 0.00988727297856
2.64 0.117956671523 0.151981432073 0.0116775442593
2.68 0.117016782718 0.153987585891 0.0137161882626
2.72 0.116084383028 0.155915975791 0.0160248207823
2.76 0.115159412778 0.157766113765 0.018625097613
2.8 0.11424181277 0.159537635883 0.0215384498724
2.84 0.113331524276 0.161230297315 0.0247858008759
2.88 0.112428489039 0.162843967369 0.0283872684679
2.92 0.111532649264 0.164378624575 0.032361857202
2.96 0.110643947616 0.165834351814 0.0367271451598
3 0.109762327219 0.167211331503 0.0414989705024
3.04 0.108887731648 0.168509840849 0.0466911230376
3.08 0.108020104929 0.169730247175 0.0523150461701
3.12 0.107159391533 0.170873003323 0.0583795545629
3.16 0.106305536376 0.171938643149 0.0648905726867
3.2 0.105458484809 0.172927777099 0.0718508991749
3.24 0.104618182621 0.173841087887 0.0792600015267
3.28 0.103784576032 0.174679326272 0.0871138452419
3.32 0.102957611691 0.17544330693 0.0954047609174
3.36 0.102137236673 0.176133904436 0.104121352215
3.4 0.101323398473 0.176752049355 0.113248446933
3.44 0.100516045005 0.177298724433 0.122767092691
3.48 0.0997151245982 0.177774960905 0.132654597996
3.52 0.0989205859934 0.178181834913 0.142884618704
3.56 0.0981323783398 0.178520464033 0.153427289146
3.6 0.097350451192 0.178792003911 0.164249396456
3.64 0.0965747545062 0.17899764502 0.175314595974
3.68 0.0958052386378 0.179138609519 0.186583664939
3.72 0.0950418543372 0.179216148227 0.198014791127
3.76 0.0942845527478 0.179231537703 0.209563892577
3.8 0.093533285402 0.179186077445 0.221184964142
3.84 0.0927880042183 0.179081087184 0.232830446238
3.88 0.0920486614986 0.178917904293 0.244451610917
3.92 0.0913152099247 0.178697881299 0.255998960258
3.96 0.0905876025553 0.178422383495 0.267422631942
4 0.0898657928234 0.178092786662 0.278672806927
4.04 0.089149734533 0.177710474881 0.289700114229
4.08 0.088439381856 0.17727683845 0.300456027967
4.12 0.0877346893296 0.176793271894 0.310893252092
4.16 0.0870356118533 0.17626117207 0.32096608851
4.2 0.0863421046858 0.175681936363 0.330630784683
4.24 0.0856541234425 0.175056960972 0.33984585718
4.28 0.0849716240924 0.174387639281 0.348572388099
4.32 0.0842945629552 0.173675360322 0.35677429176
4.36 0.0836228966988 0.172921507312 0.364418549525
4.4 0.0829565823363 0.172127456279 0.371475411134
4.44 0.0822955772234 0.171294574758 0.377918561402
4.48 0.0816398390556 0.170424220568 0.383725251635
4.52 0.0809893258653 0.169517740664 0.388876395583
4.56 0.0803439960195 0.168576470057 0.393356630198
4.6 0.0797038082169 0.167601730803 0.397154341876
4.64 0.0790687214852 0.166594831062 0.400261659277
4.68 0.0784386951787 0.165557064218 0.40267441413
4.72 0.0778136889754 0.164489708064 0.404392071781
4.76 0.0771936628748 0.163394024049 0.405417633477
4.8 0.076578577195 0.162271256573 0.405757512636
4.84 0.0759683925703 0.161122632354 0.405421387518
4.88 0.0753630699486 0.159949359833 0.404422032853
4.92 0.0747625705891 0.158752628642 0.402775133096
4.96 0.0741668560596 0.157533609115 0.400499080012
5 0.0735758882343 0.156293451851 0.39761475734
5.04 0.0729896292909 0.155033287317 0.394145315246
5.08 0.0724080417087 0.153754225505 0.390115937229
5.12 0.0718310882659 0.152457355618 0.385553602086
5.16 0.0712587320372 0.151143745807 0.380486843399
5.2 0.0706909363918 0.149814442941 0.374945508903
5.24 0.0701276649903 0.148470472412 0.368960521943
5.28 0.0695688817834 0.147112837984 0.362563647052
5.32 0.0690145510087 0.145742521661 0.355787261512
5.36 0.0684646371888 0.144360483603 0.348664134572
5.4 0.067919105129 0.142967662055 0.341227215808
5.44 0.0673779199151 0.14156497332 0.333509433913
5.48 0.0668410469111 0.140153311751 0.325543506995
5.52 0.066308451757 0.138733549768 0.317361765305
5.56 0.0657801003664 0.137306537903 0.308995987081
